Symbol,Name," Market capitalization as on December 31, 2023
(In Lakhs) "
HDFCAMC,HDFC Asset Management Company Limited,"  6,842,162 "
BHEL,Bharat Heavy Electricals Limited,"  6,739,534 "
JSWENERGY,JSW Energy Limited,"  6,727,546 "
MAXHEALTH,Max Healthcare Institute Limited,"  6,669,156 "
NAUKRI,Info Edge (India) Limited,"  6,650,538 "
BOSCHLTD,Bosch Limited,"  6,548,709 "
NHPC,NHPC Limited,"  6,489,092 "
AUROPHARMA,Aurobindo Pharma Limited,"  6,351,575 "
IDFCFIRSTB,IDFC First Bank Limited,"  6,277,713 "
INDHOTEL,The Indian Hotels Company Limited,"  6,226,325 "
ALKEM,Alkem Laboratories Limited,"  6,220,489 "
YESBANK,Yes Bank Limited,"  6,168,930 "
NMDC,NMDC Limited,"  6,144,015 "
SOLARINDS,Solar Industries India Limited,"  6,087,718 "
LUPIN,Lupin Limited,"  6,023,239 "
MUTHOOTFIN,Muthoot Finance Limited,"  5,926,725 "
SUPREMEIND,Supreme Industries Limited,"  5,770,767 "
BHARATFORG,Bharat Forge Limited,"  5,765,617 "
PATANJALI,Patanjali Foods Limited,"  5,701,419 "
PERSISTENT,Persistent Systems Limited,"  5,684,296 "
INDIANB,Indian Bank,"  5,669,371 "
HINDPETRO,Hindustan Petroleum Corporation Limited,"  5,658,589 "
PGHH,Procter & Gamble Hygiene and Health Care Limited,"  5,637,148 "
GODREJPROP,Godrej Properties Limited,"  5,597,911 "
LTTS,L&T Technology Services Limited,"  5,555,848 "
MRF,MRF Limited,"  5,495,641 "
TATAELXSI,Tata Elxsi Limited,"  5,451,337 "
CUMMINSIND,Cummins India Limited,"  5,444,069 "
GICRE,General Insurance Corporation of India,"  5,404,429 "
INDUSTOWER,Indus Towers Limited,"  5,364,272 "
PIIND,PI Industries Limited,"  5,334,257 "
ASHOKLEY,Ashok Leyland Limited,"  5,330,539 "
AUBANK,AU Small Finance Bank Limited,"  5,264,624 "
OBEROIRLTY,Oberoi Realty Limited,"  5,248,053 "
CONCOR,Container Corporation of India Limited,"  5,237,799 "
FACT,Fertilizers and Chemicals Travancore Limited,"  5,214,106 "
SUZLON,Suzlon Energy Limited,"  5,186,297 "
MPHASIS,MphasiS Limited,"  5,171,663 "
BANKINDIA,Bank of India,"  5,126,304 "
ASTRAL,Astral Limited,"  5,124,195 "
SAIL,Steel Authority of India Limited,"  5,107,395 "
TATACOMM,Tata Communications Limited,"  5,045,355 "
SCHAEFFLER,Schaeffler India Limited,"  5,006,407 "
BALKRISIND,Balkrishna Industries Limited,"  4,965,449 "
NYKAA,FSN E-Commerce Ventures Limited,"  4,964,809 "
GMRINFRA,GMR Airports Infrastructure Limited,"  4,861,954 "
LINDEINDIA,Linde India Limited,"  4,810,201 "
TATATECH,Tata Technologies Limited,"  4,787,497 "
UCOBANK,UCO Bank,"  4,752,493 "
PRESTIGE,Prestige Estates Projects Limited,"  4,725,758 "
UBL,United Breweries Limited,"  4,720,029 "
JSL,Jindal Stainless Limited,"  4,710,869 "
AWL,Adani Wilmar Limited,"  4,612,559 "
MAZDOCK,Mazagon Dock Shipbuilders Limited,"  4,600,347 "
TORNTPOWER,Torrent Power Limited,"  4,488,240 "
UPL,UPL Limited,"  4,407,943 "
JSWINFRA,JSW Infrastructure Limited,"  4,374,303 "
CENTRALBK,Central Bank of India,"  4,349,151 "
ABCAPITAL,Aditya Birla Capital Limited,"  4,325,674 "
PAGEIND,Page Industries Limited,"  4,295,664 "
DALBHARAT,Dalmia Bharat Limited,"  4,267,084 "
APLAPOLLO,APL Apollo Tubes Limited,"  4,264,805 "
3MINDIA,3M India Limited,"  4,202,902 "
ACC,ACC Limited,"  4,152,446 "
KPITTECH,KPIT Technologies Limited,"  4,150,126 "
L&TFH,L&T Finance Holdings Limited,"  4,105,748 "
FLUOROCHEM,Gujarat Fluorochemicals Limited,"  4,063,626 "
OIL,Oil India Limited,"  4,035,614 "
PAYTM,One 97 Communications Limited,"  4,033,981 "
PHOENIXLTD,The Phoenix Mills Limited,"  4,010,390 "
UNOMINDA,UNO Minda Limited,"  3,941,111 "
DIXON,Dixon Technologies (India) Limited,"  3,927,783 "
SUNDARMFIN,Sundaram Finance Limited,"  3,897,857 "
BANDHANBNK,Bandhan Bank Limited,"  3,888,730 "
COFORGE,Coforge Limited,"  3,869,387 "
FEDERALBNK,The Federal Bank  Limited,"  3,801,009 "
RVNL,Rail Vikas Nigam Limited,"  3,785,354 "
SONACOMS,Sona BLW Precision Forgings Limited,"  3,779,617 "
JUBLFOOD,Jubilant Foodworks Limited,"  3,728,455 "
COROMANDEL,Coromandel International Limited,"  3,684,777 "
THERMAX,Thermax Limited,"  3,671,801 "
OFSS,Oracle Financial Services Software Limited,"  3,649,032 "
KALYANKJIL,Kalyan Jewellers India Limited,"  3,647,418 "
POLICYBZR,PB Fintech Limited,"  3,580,970 "
SJVN,SJVN Limited,"  3,574,149 "
NLCINDIA,NLC India Limited,"  3,514,430 "
AIAENG,AIA Engineering Limited,"  3,479,950 "
NIACL,The New India Assurance Company Limited,"  3,466,568 "
METROBRAND,Metro Brands Limited,"  3,458,672 "
M&MFIN,Mahindra & Mahindra Financial Services Limited,"  3,418,711 "
DEEPAKNTR,Deepak Nitrite Limited,"  3,384,184 "
POONAWALLA,Poonawalla Fincorp Limited,"  3,348,033 "
PETRONET,Petronet LNG Limited,"  3,339,750 "
ESCORTS,Escorts Kubota Limited,"  3,296,274 "
MFSL,Max Financial Services Limited,"  3,293,430 "
HONAUT,Honeywell Automation India Limited,"  3,257,836 "
VOLTAS,Voltas Limited,"  3,237,211 "
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,"  3,215,581 "
