Symbol,Name," Market capitalization as on December 31, 2023
(In Lakhs) "
SAPPHIRE,Sapphire Foods India Limited,"  905,096 "
USHAMART,Usha Martin Limited,"  903,407 "
PNCINFRA,PNC Infratech Limited,"  901,607 "
MMTC,MMTC Limited,"  897,000 "
MEDPLUS,Medplus Health Services Limited,"  896,036 "
SARDAEN,Sarda Energy & Minerals Limited,"  892,406 "
RPOWER,Reliance Power Limited,"  888,006 "
RCF,Rashtriya Chemicals and Fertilizers Limited,"  879,943 "
TVSSCS,TVS Supply Chain Solutions Limited,"  870,856 "
JUBLPHARMA,Jubilant Pharmova Limited,"  868,799 "
TV18BRDCST,TV18 Broadcast Limited,"  865,752 "
BALAMINES,Balaji Amines Limited,"  864,621 "
MASTEK,Mastek Limited,"  863,586 "
TECHNOE,Techno Electric & Engineering Company Limited,"  860,791 "
METROPOLIS,Metropolis Healthcare Limited,"  859,609 "
KRBL,KRBL Limited,"  858,566 "
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,"  857,660 "
RATEGAIN,Rategain Travel Technologies Limited,"  857,187 "
CCL,CCL Products (India) Limited,"  856,367 "
CAMPUS,Campus Activewear Limited,"  854,564 "
VIPIND,VIP Industries Limited,"  848,277 "
MAHSCOOTER,Maharashtra Scooters Limited,"  847,920 "
VARROC,Varroc Engineering Limited,"  846,742 "
SURYAROSNI,Surya Roshni Limited,"  845,570 "
MAHLIFE,Mahindra Lifespace Developers Limited,"  842,169 "
GAEL,Gujarat Ambuja Exports Limited,"  841,775 "
RELINFRA,Reliance Infrastructure Limited,"  831,083 "
BALRAMCHIN,Balrampur Chini Mills Limited,"  828,080 "
IONEXCHANG,ION Exchange (India) Limited,"  824,560 "
KFINTECH,Kfin Technologies Limited,"  822,490 "
HOMEFIRST,Home First Finance Company India Limited,"  821,762 "
PGHL,Procter & Gamble Health Limited,"  821,296 "
PRINCEPIPE,Prince Pipes And Fittings Limited,"  821,192 "
RESPONIND,Responsive Industries Limited,"  818,221 "
PTCIL,PTC Industries Limited,"  813,756 "
KTKBANK,The Karnataka Bank Limited,"  811,564 "
JUBLINGREA,Jubilant Ingrevia Limited,"  810,104 "
GLS,Glenmark Life Sciences Limited,"  805,065 "
MANINFRA,Man Infraconstruction Limited,"  804,500 "
SPANDANA,Spandana Sphoorty Financial Limited,"  803,137 "
INDIACEM,The India Cements Limited,"  802,324 "
ACI,Archean Chemical Industries Limited,"  801,710 "
INOXINDIA,INOX India Limited,"  801,079 "
LXCHEM,Laxmi Organic Industries Limited,"  799,298 "
TMB,Tamilnad Mercantile Bank Limited,"  798,804 "
CHEMPLASTS,Chemplast Sanmar Limited,"  790,469 "
ALLCARGO,Allcargo Logistics Limited,"  790,403 "
EMIL,Electronics Mart India Limited,"  786,426 "
SANDUMA,Sandur Manganese & Iron Ores Limited,"  784,587 "
MIDHANI,Mishra Dhatu Nigam Limited,"  783,362 "
QUESS,Quess Corp Limited,"  776,467 "
TEGA,Tega Industries Limited,"  765,530 "
MHRIL,Mahindra Holidays & Resorts India Limited,"  765,343 "
SHOPERSTOP,Shoppers Stop Limited,"  759,645 "
DOMS,DOMS Industries Limited,"  759,076 "
SCI,Shipping Corporation Of India Limited,"  758,787 "
GRAVITA,Gravita India Limited,"  756,759 "
TRIVENI,Triveni Engineering & Industries Limited,"  754,541 "
GPPL,Gujarat Pipavav Port Limited,"  739,905 "
HEG,HEG Limited,"  736,537 "
EDELWEISS,Edelweiss Financial Services Limited,"  734,698 "
DBREALTY,D B Realty Limited,"  730,679 "
MARKSANS,Marksans Pharma Limited,"  730,248 "
RUSTOMJEE,Keystone Realtors Limited,"  729,063 "
VESUVIUS,Vesuvius India Limited,"  728,913 "
STARCEMENT,Star Cement Limited,"  727,525 "
PDSL,PDS Limited,"  726,347 "
CSBBANK,CSB Bank Limited,"  726,298 "
IFCI,IFCI Limited,"  725,722 "
GMMPFAUDLR,GMM Pfaudler Limited,"  724,665 "
ISGEC,Isgec Heavy Engineering Limited,"  721,619 "
KNRCON,KNR Constructions Limited,"  721,226 "
EASEMYTRIP,Easy Trip Planners Limited,"  715,018 "
SAREGAMA,Saregama India Limited,"  714,745 "
JLHL,Jupiter Life Line Hospitals Limited,"  714,604 "
INDIGOPNTS,Indigo Paints Limited,"  709,598 "
LTFOODS,LT Foods Limited,"  705,618 "
KIRLOSBROS,Kirloskar Brothers Limited,"  705,191 "
RELIGARE,Religare Enterprises Limited,"  702,629 "
JAICORPLTD,Jai Corp Limited,"  693,187 "
VIJAYA,Vijaya Diagnostic Centre Limited,"  691,299 "
JKPAPER,JK Paper Limited,"  689,129 "
UJJIVAN,Ujjivan Financial Services Limited,"  687,949 "
ROLEXRINGS,Rolex Rings Limited,"  686,334 "
GARFIBRES,Garware Technical Fibres Limited,"  685,929 "
ARVIND,Arvind Limited,"  683,968 "
JUSTDIAL,Just Dial Limited,"  682,098 "
GREENLAM,Greenlam Industries Limited,"  680,734 "
VRLLOG,VRL Logistics Limited,"  680,642 "
MTARTECH,Mtar Technologies Limited,"  679,264 "
NEULANDLAB,Neuland Laboratories Limited,"  678,881 "
POWERMECH,Power Mech Projects Limited,"  677,466 "
GOCOLORS,Go Fashion (India) Limited,"  676,030 "
ZENTEC,Zen Technologies Limited,"  667,816 "
NETWEB,Netweb Technologies India Limited,"  665,800 "
SIS,SIS LIMITED,"  662,082 "
VOLTAMP,Voltamp Transformers Limited,"  659,697 "
ELECTCAST,Electrosteel Castings Limited,"  658,228 "
BECTORFOOD,Mrs. Bectors Food Specialities Limited,"  657,579 "
VAIBHAVGBL,Vaibhav Global Limited,"  656,754 "
TEXRAIL,Texmaco Rail & Engineering Limited,"  656,083 "
SUNTECK,Sunteck Realty Limited,"  652,664 "
RSYSTEMS,R Systems International Limited,"  649,604 "
REDTAPE,Redtape Limited,"  649,549 "
IWEL,Inox Wind Energy Limited,"  645,931 "
FDC,FDC Limited,"  645,461 "
EPL,EPL Limited,"  642,903 "
SHRIPISTON,Shriram Pistons & Rings Limited,"  641,365 "
TCI,Transport Corporation of India Limited,"  639,076 "
THOMASCOOK,Thomas Cook  (India)  Limited,"  639,012 "
BLUEJET,Blue Jet Healthcare Limited,"  638,526 "
NAVA,NAVA LIMITED,"  635,904 "
HNDFDS,Hindustan Foods Limited,"  631,810 "
MOIL,MOIL Limited,"  628,769 "
NESCO,Nesco Limited,"  621,950 "
PGEL,PG Electroplast Limited,"  617,721 "
SYMPHONY,Symphony Limited,"  612,823 "
WOCKPHARMA,Wockhardt Limited,"  611,495 "
ICIL,Indo Count Industries Limited,"  609,710 "
SHAREINDIA,Share India Securities Limited,"  609,200 "
INDIASHLTR,India Shelter Finance Corporation Limited,"  608,746 "
JINDWORLD,Jindal Worldwide Limited,"  608,379 "
TATACOFFEE,Tata Coffee Limited,"  599,159 "
CMSINFO,CMS Info Systems Limited,"  598,811 "
GENUSPOWER,Genus Power Infrastructures Limited,"  597,720 "
INFIBEAM,Infibeam Avenues Limited,"  597,351 "
STAR,Strides Pharma Science Limited,"  596,533 "
NIITMTS,NIIT Learning Systems Limited,"  591,753 "
UTKARSHBNK,Utkarsh Small Finance Bank Limited,"  591,152 "
TIIL,Technocraft Industries (India) Limited,"  582,515 "
FUSION,Fusion Micro Finance Limited,"  582,302 "
BORORENEW,BOROSIL RENEWABLES LIMITED,"  574,214 "
ASKAUTOLTD,ASK Automotive Limited,"  572,699 "
ASTRAMICRO,Astra Microwave Products Limited,"  572,613 "
AVANTIFEED,Avanti Feeds Limited,"  572,300 "
JSWHL,JSW Holdings Limited,"  570,815 "
GUJALKALI,Gujarat Alkalies and Chemicals Limited,"  570,486 "
STLTECH,Sterlite Technologies Limited,"  569,845 "
NAZARA,Nazara Technologies Limited,"  566,880 "
GABRIEL,Gabriel India Limited,"  564,664 "
SUPRAJIT,Suprajit Engineering Limited,"  562,804 "
PTC,PTC India Limited,"  562,564 "
DBL,Dilip Buildcon Limited,"  562,489 "
SOUTHBANK,The South Indian Bank Limited,"  558,762 "
GHCL,GHCL Limited,"  555,353 "
RBA,Restaurant Brands Asia Limited,"  554,802 "
PARADEEP,Paradeep Phosphates Limited,"  552,801 "
HGINFRA,H.G. Infra Engineering Limited,"  552,358 "
ICRA,ICRA Limited,"  552,026 "
RAMKY,Ramky Infrastructure Limited,"  547,908 "
KESORAMIND,Kesoram Industries Limited,"  547,503 "
SANSERA,Sansera Engineering Limited,"  546,013 "
ARVINDFASN,Arvind Fashions Limited,"  545,213 "
SENCO,Senco Gold Limited,"  541,040 "
AURIONPRO,Aurionpro Solutions Limited,"  540,177 "
TEAMLEASE,Teamlease Services Limited,"  536,278 "
CYIENTDLM,Cyient DLM Limited,"  535,118 "
AGI,AGI Greenpac Limited,"  534,465 "
KPIGREEN,KPI Green Energy Limited,"  530,393 "
HEIDELBERG,HeidelbergCement India Limited,"  527,329 "
TCIEXP,TCI Express Limited,"  526,883 "
VSTIND,VST Industries Limited,"  526,068 "
GREENPANEL,Greenpanel Industries Limited,"  525,091 "
DODLA,Dodla Dairy Limited,"  522,465 "
AHLUCONT,Ahluwalia Contracts (India) Limited,"  519,489 "
RAIN,Rain Industries Limited,"  518,981 "
GATEWAY,Gateway Distriparks Limited,"  518,630 "
ORIENTCEM,Orient Cement Limited,"  514,425 "
ETHOSLTD,Ethos Limited,"  511,335 "
HCG,Healthcare Global Enterprises Limited,"  509,066 "
FEDFINA,Fedbank Financial Services Limited,"  502,377 "
GOKEX,Gokaldas Exports Limited,"  500,921 "
PRUDENT,Prudent Corporate Advisory Services Limited,"  498,081 "
ITDCEM,ITD Cementation India Limited,"  490,711 "
BBOX,Black Box Limited,"  488,854 "
JPASSOCIAT,Jaiprakash Associates Limited,"  486,010 "
RALLIS,Rallis India Limited,"  485,881 "
ORIENTELEC,Orient Electric Limited,"  484,234 "
RTNPOWER,RattanIndia Power Limited,"  483,310 "
DHANUKA,Dhanuka Agritech Limited,"  481,763 "
WSTCSTPAPR,West Coast Paper Mills Limited,"  481,761 "
WONDERLA,Wonderla Holidays Limited,"  476,941 "
DBCORP,D.B.Corp Limited,"  475,997 "
MASFIN,MAS Financial Services Limited,"  475,423 "
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,"  472,774 "
IBREALEST,Indiabulls Real Estate Limited,"  472,070 "
KKCL,Kewal Kiran Clothing Limited,"  472,049 "
MSTCLTD,Mstc Limited,"  471,117 "
TINPLATE,The Tinplate Company of India Limited,"  470,586 "
PATELENG,Patel Engineering Limited,"  465,331 "
TI,Tilaknagar Industries Limited,"  463,537 "
PRICOLLTD,Pricol Limited,"  462,967 "
SHANTIGEAR,Shanthi Gears Limited,"  460,679 "
HGS,Hinduja Global Solutions Limited,"  460,365 "
PRIVISCL,Privi Speciality Chemicals Limited,"  459,475 "
CHOICEIN,Choice International Limited,"  458,004 "
AARTIPHARM,Aarti Pharmalabs Limited,"  457,163 "
BANCOINDIA,Banco Products (I) Limited,"  457,111 "
MAXESTATES,Max Estates Limited,"  456,558 "
NOCIL,NOCIL Limited,"  455,859 "
JAYNECOIND,Jayaswal Neco Industries Limited,"  454,913 "
WELENT,Welspun Enterprises Limited,"  451,575 "
AARTIDRUGS,Aarti Drugs Limited,"  449,746 "
IIFLSEC,IIFL Securities Limited,"  449,184 "
NFL,National Fertilizers Limited,"  448,879 "
JAMNAAUTO,Jamna Auto Industries Limited,"  445,495 "
PURVA,Puravankara Limited,"  443,233 "
ROSSARI,Rossari Biotech Limited,"  441,423 "
TIPSINDLTD,TIPS Industries Limited,"  439,091 "
JKIL,J.Kumar Infraprojects Limited,"  436,817 "
HEMIPROP,Hemisphere Properties India Limited,"  436,620 "
GALLANTT,Gallantt Ispat Limited,"  433,823 "
HCC,Hindustan Construction Company Limited,"  432,726 "
MUTHOOTMF,Muthoot Microfin Limited,"  428,191 "
DATAMATICS,Datamatics Global Services Limited,"  427,337 "
ORISSAMINE,The Orissa Minerals Development Company Limited,"  425,637 "
JISLJALEQS,Jain Irrigation Systems Limited,"  423,508 "
KALAMANDIR,Sai Silks (Kalamandir) Limited,"  421,757 "
SULA,Sula Vineyards Limited,"  420,732 "
HMAAGRO,HMA Agro Industries Limited,"  420,647 "
ADVENZYMES,Advanced Enzyme Technologies Limited,"  419,732 "
IPL,India Pesticides Limited,"  419,310 "
SINDHUTRAD,Sindhu Trade Links Limited,"  416,321 "
DCBBANK,DCB Bank Limited,"  414,644 "
PAISALO,Paisalo Digital Limited,"  414,447 "
AMIORG,Ami Organics Limited,"  413,800 "
LAOPALA,La Opala RG Limited,"  412,476 "
THANGAMAYL,Thangamayil Jewellery Limited,"  409,214 "
AZAD,Azad Engineering Limited,"  409,091 "
SHARDACROP,Sharda Cropchem Limited,"  408,518 "
SSWL,Steel Strips Wheels Limited,"  406,761 "
TDPOWERSYS,TD Power Systems Limited,"  406,120 "
JTLIND,JTL INDUSTRIES LIMITED,"  406,022 "
EPIGRAL,Epigral Limited,"  405,966 "
TIMETECHNO,Time Technoplast Limited,"  400,984 "
TARC,TARC Limited,"  400,446 "
FCL,Fineotex Chemical Limited,"  400,134 "
VMART,V-Mart Retail Limited,"  396,462 "
RAJRATAN,Rajratan Global Wire Limited,"  396,217 "
LGBBROSLTD,LG Balakrishnan & Bros Limited,"  394,995 "
NUCLEUS,Nucleus Software Exports Limited,"  393,099 "
LUXIND,Lux Industries Limited,"  390,932 "
ASHOKA,Ashoka Buildcon Limited,"  390,907 "
DELTACORP,Delta Corp Limited,"  390,812 "
BCG,Brightcom Group Limited,"  390,468 "
NEOGEN,Neogen Chemicals Limited,"  390,462 "
WABAG,VA Tech Wabag Limited,"  390,432 "
KIRLPNU,Kirloskar Pneumatic Company Limited,"  390,087 "
SHARDAMOTR,Sharda Motor Industries Limited,"  388,459 "
JTEKTINDIA,Jtekt India Limited,"  388,113 "
ITDC,India Tourism Development Corporation Limited,"  386,949 "
BOROLTD,Borosil Limited,"  386,084 "
ASHAPURMIN,Ashapura Minechem Limited,"  385,156 "
IFBIND,IFB Industries Limited,"  380,654 "
SUDARSCHEM,Sudarshan Chemical Industries Limited,"  380,058 "
SUNFLAG,Sunflag Iron And Steel Company Limited,"  377,289 "
HATHWAY,Hathway Cable & Datacom Limited,"  375,262 "
HIKAL,Hikal Limited,"  374,773 "
TATVA,Tatva Chintan Pharma Chem Limited,"  374,694 "
BALMLAWRIE,Balmer Lawrie & Company Limited,"  374,242 "
BHARATRAS,Bharat Rasayan Limited,"  374,138 "
KOLTEPATIL,Kolte - Patil Developers Limited,"  371,358 "
HLEGLAS,HLE Glascoat Limited,"  368,565 "
HINDWAREAP,Hindware Home Innovation Limited,"  367,916 "
FLAIR,Flair Writing Industries Limited,"  367,461 "
INDOCO,Indoco Remedies Limited,"  364,178 "
SAMHI,Samhi Hotels Limited,"  362,920 "
AVALON,Avalon Technologies Limited,"  361,719 "
ORCHPHARMA,Orchid Pharma Limited,"  361,374 "
HARSHA,Harsha Engineers International Limited,"  357,894 "
KDDL,KDDL Limited,"  356,255 "
BAJAJHIND,Bajaj Hindusthan Sugar Limited,"  355,106 "
SANGHVIMOV,Sanghvi Movers Limited,"  354,096 "
ESAFSFB,ESAF Small Finance Bank Limited,"  353,654 "
SUBROS,Subros Limited,"  353,480 "
PILANIINVS,Pilani Investment and Industries Corporation Limited,"  352,806 "
GULFOILLUB,Gulf Oil Lubricants India Limited,"  352,563 "
GREAVESCOT,Greaves Cotton Limited,"  352,524 "
EMUDHRA,eMudhra Limited,"  352,497 "
IDEAFORGE,Ideaforge Technology Limited,"  350,451 "
KIRLOSIND,Kirloskar Industries Limited,"  349,405 "
UFLEX,UFLEX Limited,"  348,709 "
GANESHHOUC,Ganesh Housing Corporation Limited,"  347,349 "
DYNAMATECH,Dynamatic Technologies Limited,"  347,233 "
MAITHANALL,Maithan Alloys Limited,"  346,631 "
TVSSRICHAK,TVS Srichakra Limited,"  346,420 "
LANDMARK,Landmark Cars Limited,"  342,989 "
KSCL,Kaveri Seed Company Limited,"  342,577 "
NAVNETEDUL,Navneet Education Limited,"  341,808 "
TASTYBITE,Tasty Bite Eatables Limited,"  341,508 "
THYROCARE,Thyrocare Technologies Limited,"  340,777 "
SAKSOFT,Saksoft Limited,"  339,278 "
TATAMETALI,Tata Metaliks Limited,"  339,174 "
GMRP&UI,GMR Power and Urban Infra Limited,"  338,918 "
DISHTV,Dish TV India Limited,"  336,950 "
CARTRADE,Cartrade Tech Limited,"  334,374 "
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,"  333,996 "
NILKAMAL,Nilkamal Limited,"  333,988 "
SAGCEM,Sagar Cements Limited,"  332,847 "
DCXINDIA,DCX Systems Limited,"  330,118 "
POLYPLEX,Polyplex Corporation Limited,"  330,045 "
TRIL,Transformers And Rectifiers (India) Limited,"  329,822 "
SANGHIIND,Sanghi Industries Limited,"  327,816 "
SHALBY,Shalby Limited,"  326,838 "
VSTTILLERS,V.S.T Tillers Tractors Limited,"  326,427 "
GRWRHITECH,Garware Hi-Tech Films Limited,"  325,695 "
NRBBEARING,NRB Bearing Limited,"  325,515 "
SUNDARMHLD,Sundaram Finance Holdings Limited,"  324,383 "
AUTOAXLES,Automotive Axles Limited,"  324,227 "
YATHARTH,Yatharth Hospital & Trauma Care Services Limited,"  323,956 "
BANARISUG,Bannari Amman Sugars Limited,"  320,609 "
GENSOL,Gensol Engineering Limited,"  320,234 "
BOMDYEING,Bombay Dyeing & Mfg Company Limited,"  318,064 "
PFOCUS,Prime Focus Limited,"  317,958 "
GUFICBIO,Gufic Biosciences Limited,"  317,328 "
SBCL,Shivalik Bimetal Controls Limited,"  317,140 "
BAJAJCON,Bajaj Consumer Care Limited,"  313,242 "
INNOVACAP,Innova Captab Limited,"  309,816 "
INOXGREEN,Inox Green Energy Services Limited,"  308,580 "
SUNCLAY,Sundaram Clayton Limited,"  305,859 "
SOMANYCERA,Somany Ceramics Limited,"  304,625 "
MOLDTKPAC,Mold-Tek Packaging Limited,"  303,915 "
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,"  303,505 "
DIVGIITTS,Divgi Torqtransfer Systems Limited,"  299,942 "
PRAKASH,Prakash Industries Limited,"  299,425 "
APOLLO,Apollo Micro Systems Limited,"  299,300 "
SANDHAR,Sandhar Technologies Limited,"  296,861 "
GREENPLY,Greenply Industries Limited,"  295,002 "
SWARAJENG,Swaraj Engines Limited,"  294,304 "
WENDT,Wendt (India) Limited,"  293,255 "
STYLAMIND,Stylam Industries Limited,"  291,812 "
CIGNITITEC,Cigniti Technologies Limited,"  291,292 "
MPSLTD,MPS Limited,"  290,517 "
IFGLEXPOR,IFGL Refractories Limited,"  288,098 "
KINGFA,Kingfa Science & Technology (India) Limited,"  287,817 "
SHILPAMED,Shilpa Medicare Limited,"  286,707 "
DREAMFOLKS,Dreamfolks Services Limited,"  286,605 "
SEPC,SEPC Limited,"  286,133 "
IMAGICAA,Imagicaaworld Entertainment Limited,"  286,008 "
UNICHEMLAB,Unichem Laboratories Limited,"  285,777 "
MUKANDLTD,Mukand Limited,"  285,740 "
VENUSPIPES,Venus Pipes & Tubes Limited,"  284,257 "
SEQUENT,Sequent Scientific Limited,"  283,731 "
CARERATING,CARE Ratings Limited,"  283,319 "
PGIL,Pearl Global Industries Limited,"  282,837 "
HERITGFOOD,Heritage Foods Limited,"  281,450 "
BSHSL,Bombay Super Hybrid Seeds Limited,"  280,812 "
TARSONS,Tarsons Products Limited,"  280,557 "
PARAS,Paras Defence and Space Technologies Limited,"  280,371 "
MAHLOG,Mahindra Logistics Limited,"  279,392 "
JINDALPOLY,Jindal Poly Films Limited,"  277,672 "
FIEMIND,Fiem Industries Limited,"  276,060 "
PSPPROJECT,PSP Projects Limited,"  275,940 "
ISMTLTD,ISMT Limited,"  275,410 "
VENKEYS,Venky's (India) Limited,"  274,900 "
BBL,Bharat Bijlee Limited,"  273,126 "
PARAGMILK,Parag Milk Foods Limited,"  272,723 "
DEN,Den Networks Limited,"  272,495 "
ZAGGLE,Zaggle Prepaid Ocean Services Limited,"  272,093 "
IOLCP,IOL Chemicals and Pharmaceuticals Limited,"  271,983 "
ASHIANA,Ashiana Housing Limited,"  271,970 "
PFS,PTC India Financial Services Limited,"  269,759 "
ANUP,The Anup Engineering Limited,"  269,593 "
IMFA,Indian Metals & Ferro Alloys Limited,"  269,420 "
APOLLOPIPE,Apollo Pipes Limited,"  269,418 "
VPRPL,Vishnu Prakash R Punglia Limited,"  269,169 "
DCAL,Dishman Carbogen Amcis Limited,"  268,021 "
GANDHAR,Gandhar Oil Refinery (India) Limited,"  267,136 "
GOODLUCK,Goodluck India Limited,"  266,733 "
OPTIEMUS,Optiemus Infracom Limited,"  266,501 "
SEAMECLTD,Seamec Limited,"  265,920 "
SATIN,Satin Creditcare Network Limited,"  265,351 "
APCOTEXIND,Apcotex Industries Limited,"  264,254 "
GIPCL,Gujarat Industries Power Company Limited,"  263,480 "
LUMAXTECH,Lumax Auto Technologies Limited,"  262,748 "
DOLLAR,Dollar Industries Limited,"  262,142 "
BARBEQUE,Barbeque Nation Hospitality Limited,"  261,050 "
UNIPARTS,Uniparts India Limited,"  260,851 "
VINDHYATEL,Vindhya Telelinks Limited,"  259,433 "
MBAPL,Madhya Bharat Agro Products Limited,"  259,069 "
GOCLCORP,GOCL Corporation Limited,"  257,033 "
DIAMONDYD,Prataap Snacks Limited,"  255,775 "
CONFIPET,Confidence Petroleum India Limited,"  255,263 "
STYRENIX,Styrenix Performance Materials Limited,"  253,875 "
SUPRIYA,Supriya Lifescience Limited,"  253,320 "
EVEREADY,Eveready Industries India Limited,"  251,607 "
GLOBUSSPR,Globus Spirits Limited,"  251,563 "
BEPL,Bhansali Engineering Polymers Limited,"  250,849 "
UGROCAP,Ugro Capital Limited,"  249,557 "
MOREPENLAB,Morepen Laboratories Limited,"  248,172 "
MAYURUNIQ,Mayur Uniquoters Ltd,"  247,695 "
HMT,HMT Limited,"  247,428 "
MUFIN,Mufin Green Finance Limited,"  247,330 "
TIDEWATER,Tide Water Oil Company (India) Limited,"  246,401 "
IKIO,IKIO Lighting Limited,"  246,023 "
REPCOHOME,Repco Home Finance Limited,"  245,491 "
AXISCADES,AXISCADES Technologies Limited,"  245,144 "
FOSECOIND,Foseco India Limited,"  244,764 "
ARTEMISMED,Artemis Medicare Services Limited,"  244,753 "
SOTL,Savita Oil Technologies Limited,"  243,268 "
ANDHRAPAP,ANDHRA PAPER LIMITED,"  242,538 "
SIYSIL,Siyaram Silk Mills Limited,"  242,526 "
HONDAPOWER,Honda India Power Products Limited,"  242,475 "
HINDOILEXP,Hindustan Oil Exploration Company Limited,"  240,974 "
INDIAGLYCO,India Glycols Limited,"  237,769 "
TCNSBRANDS,TCNS Clothing Co. Limited,"  237,357 "
PRECAM,Precision Camshafts Limited,"  236,800 "
EMSLIMITED,EMS Limited,"  235,673 "
SKIPPER,Skipper Limited,"  234,653 "
DHANI,Dhani Services Limited,"  234,055 "
MMFL,MM Forgings Limited,"  233,598 "
VISHNU,Vishnu Chemicals Limited,"  233,539 "
ALEMBICLTD,Alembic Limited,"  232,388 "
LUMAXIND,Lumax Industries Limited,"  231,800 "
KRSNAA,Krsnaa Diagnostics Limited,"  227,966 "
CAMLINFINE,Camlin Fine Sciences Limited,"  227,404 "
YATRA,Yatra Online Limited,"  226,901 "
MANORAMA,Manorama Industries Limited,"  226,184 "
PITTIENG,Pitti Engineering Limited,"  226,145 "
TIRUMALCHM,Thirumalai Chemicals Limited,"  224,793 "
UDS,Updater Services Limited,"  224,755 "
SIRCA,Sirca Paints India Limited,"  224,634 "
SESHAPAPER,Seshasayee Paper and Boards Limited,"  223,356 "
BFUTILITIE,BF Utilities Limited,"  222,804 "
RISHABH,Rishabh Instruments Limited,"  221,258 "
IRMENERGY,IRM Energy Limited,"  220,963 "
RPGLIFE,RPG Life Sciences Limited,"  220,936 "
CARYSIL,CARYSIL LIMITED,"  220,454 "
SDBL,Som Distilleries & Breweries Limited,"  220,440 "
ADFFOODS,ADF Foods Limited,"  219,892 "
ORIENTHOT,Oriental Hotels Limited,"  218,159 "
FILATEX,Filatex India Limited,"  218,155 "
PCJEWELLER,PC Jeweller Limited,"  217,344 "
63MOONS,63 moons technologies limited,"  217,237 "
FINOPB,Fino Payments Bank Limited,"  217,148 "
EVERESTIND,Everest Industries Limited,"  217,072 "
RPSGVENT,RPSG VENTURES LIMITED,"  216,761 "
HUHTAMAKI,Huhtamaki India Limited,"  216,672 "
PRECWIRE,Precision Wires India Limited,"  215,194 "
GTPL,GTPL Hathway Limited,"  214,917 "
ASTEC,Astec LifeSciences Limited,"  214,770 "
XPROINDIA,Xpro India Limited,"  214,516 "
SADHNANIQ,Sadhana Nitrochem Limited,"  214,076 "
GANECOS,Ganesha Ecosphere Limited,"  214,026 "
GREENPOWER,Orient Green Power Company Limited,"  213,798 "
JINDRILL,Jindal Drilling And Industries Limited,"  213,562 "
RUPA,Rupa & Company Limited,"  213,484 "
SANGAMIND,Sangam (India) Limited,"  213,473 "
ARMANFIN,Arman Financial Services Limited,"  212,349 "
ATFL,Agro Tech Foods Limited,"  212,171 "
HIL,HIL Limited,"  212,171 "
MTNL,Mahanagar Telephone Nigam Limited,"  211,995 "
KSL,Kalyani Steels Limited,"  211,521 "
ACCELYA,Accelya Solutions India Limited,"  211,304 "
SASKEN,Sasken Technologies Limited,"  210,915 "
BHARATWIRE,Bharat Wire Ropes Limited,"  210,128 "
SHRIRAMPPS,Shriram Properties Limited,"  208,055 "
INDOSTAR,IndoStar Capital Finance Limited,"  207,965 "
SALASAR,Salasar Techno Engineering Limited,"  207,576 "
VIDHIING,Vidhi Specialty Food Ingredients Limited,"  207,472 "
TNPL,Tamil Nadu Newsprint & Papers Limited,"  207,182 "
PARACABLES,Paramount Communications Limited,"  206,412 "
KIRIINDUS,Kiri Industries Limited,"  206,404 "
TCPLPACK,TCPL Packaging Limited,"  205,906 "
ADORWELD,Ador Welding Limited,"  205,704 "
MANGLMCEM,Mangalam Cement Limited,"  205,171 "
JAGRAN,Jagran Prakashan Limited,"  203,833 "
RIIL,Reliance Industrial Infrastructure Limited,"  203,571 "
SPECTRUM,Spectrum Electrical Industries Limited,"  202,810 "
EXPLEOSOL,Expleo Solutions Limited,"  201,594 "
BFINVEST,BF Investment Limited,"  201,333 "
SHK,S H Kelkar and Company Limited,"  201,333 "
PANAMAPET,Panama Petrochem Limited,"  200,778 "
VAKRANGEE,Vakrangee Limited,"  200,778 "
FMGOETZE,Federal-Mogul Goetze (India) Limited.,"  200,637 "
AEROFLEX,Aeroflex Industries Limited,"  200,447 "
TTKHLTCARE,TTK Healthcare Limited,"  200,276 "
INSECTICID,Insecticides (India) Limited,"  200,200 "
VERANDA,Veranda Learning Solutions Limited,"  198,597 "
THEJO,Thejo Engineering Limited,"  198,188 "
KCP,KCP Limited,"  198,152 "
MOL,Meghmani Organics Limited,"  197,856 "
CANTABIL,Cantabil Retail India Limited,"  196,707 "
THEMISMED,Themis Medicare Limited,"  196,663 "
MARATHON,Marathon Nextgen Realty Limited,"  195,917 "
ARVSMART,Arvind SmartSpaces Limited,"  194,728 "
QUICKHEAL,Quick Heal Technologies Limited,"  192,642 "
SJS,S.J.S. Enterprises Limited,"  192,063 "
SMLISUZU,SML Isuzu Limited,"  191,337 "
GNA,GNA Axles Limited,"  191,085 "
SUBEXLTD,Subex Limited,"  190,800 "
DPSCLTD,DPSC Limited,"  190,376 "
RAMCOIND,Ramco Industries Limited,"  188,332 "
JASH,Jash Engineering Limited,"  188,197 "
SHAKTIPUMP,Shakti Pumps (India) Limited,"  188,121 "
MUFTI,Credo Brands Marketing Limited,"  187,440 "
GEOJITFSL,Geojit Financial Services Limited,"  187,010 "
